idSport;Session;date;debut;details;fin;idLieu
13;OOC01;26/07/2024;20:00:00;Cérémonie d'ouverture;23:15:00;20
13;OOC01;11/08/2024;20:00:00;Cérémonie de clôture;23:15:00;24
1;ATH01;01/08/2024;07:30:00;"20 km marche - hommes, finale
20 km marche - femmes, finale";11:05:00;37
1;ATH02;02/08/2024;10:00;"Décathlon - 100 m, hommes
Lancer de marteau - hommes, qualifications
Saut en hauteur - femmes, qualifications
100 m - femmes, tour préliminaire
Décathlon - saut en longueur, hommes
1 500 m - hommes, 1er tour
100 m - femmes, 1er tour
Décathlon - lancer de poids, hommes";13:00;24
1;ATH03;02/08/2024;17:40:00;"Décathlon - saut en hauteur, hommes
5 000 m - femmes, 1er tour
Triple saut - femmes, qualifications
Lancer de disque - femmes, qualifications
Relais 4 x 400 m - mixte, 1er tour
800 m - femmes, 1er tour
Lancer de poids - hommes, qualifications
Décathlon - 400 m, hommes
10 000 m - hommes, finale";22:00;24
1;ATH04;03/08/2024;10:00;"Décathlon - 110 m haies, hommes
Saut à la perche - hommes, qualifications
100 m - hommes, tour préliminaire
Décathlon - lancer de disque, hommes
800 m - femmes, Repêchages
100 m - hommes, 1er tour
Décathlon - saut à la perche, hommes";16:00;24
1;ATH05;03/08/2024;19:00;"1 500 m - hommes, Repêchages
Lancer de poids - hommes, finale
100 m - femmes, demi-finales
Décathlon - lancer de javelot, hommes
Triple saut - femmes, finale
Relais 4 x 400 m - mixte, finale
100 m - femmes, finale
Décathlon - 1 500 m, hommes";22:00;24
1;ATH06;04/08/2024;10:00;"3 000 m steeple - femmes, 1er tour
Lancer de marteau - femmes, qualifications
200 m - femmes, 1er tour
Saut en longueur - hommes, qualifications
110 m haies - hommes, 1er tour
400 m haies - femmes, 1er tour
110 m haies - hommes, 1er tour";13:15:00;24
1;ATH07;04/08/2024;18:30:00;"400 m - hommes, 1er tour
Saut en hauteur - femmes, finale
100 m - hommes, demi-finales
Lancer de marteau - hommes, finale
800 m - femmes, demi-finales
1 500 m - hommes, demi-finales
100 m - hommes, finale";22:00;24
1;ATH08;05/08/2024;10:00;"400 m haies - hommes, 1er tour
Lancer de disque - hommes, qualifications
Saut à la perche - femmes, qualifications
400 m haies - femmes, Repêchages
400 m - hommes, Repêchages
400 m - femmes, 1er tour
200 m - femmes, Repechages";13:15:00;24
1;ATH09;05/08/2024;18:30:00;"Saut à la perche - hommes, finale
3 000 m steeple - hommes, 1er tour
200 m - hommes, 1er tour
Lancer de disque - femmes, finale
200 m - femmes, demi-finales
5 000 m - femmes, finale
800 m - femmes, finale";22:00;24
1;ATH10;06/08/2024;10:00;"1 500 m - femmes, 1er tour
Lancer de javelot - hommes, qualifications
110 m haies - hommes, Repêchages
Saut en longueur - femmes, qualifications
400 m - femmes, Repêchages
400 m haies - hommes, Repêchages
200 m - hommes, Repêchages";13:00;24
1;ATH11;06/08/2024;19:00;"400 m - hommes, demi-finales
Lancer de marteau - femmes, finale
400 m haies - femmes, demi-finales
Saut en longueur - hommes, finale
1 500 m - hommes, finale
3 000 m steeplechase - femmes, finale
200 m - femmes, finale";22:00;24
1;ATH12;07/08/2024;07:30:00;Marche sur un marathon en relais mixte;10:50:00;37
1;ATH13;07/08/2024;10:00;"Saut en hauteur - hommes, qualifications
100 m haies - femmes, 1er tour
Lancer de javelot - femmes, qualifications
5 000 m - hommes, 1er tour
800 m - hommes, 1er tour
1 500 m - femmes, R";13:05:00;24
1;ATH14;07/08/2024;18:30:00;"Saut à la perche - femmes, finale
110 m haies - hommes, demi-finales
Triple saut - hommes, qualifications
400 m haies - hommes, demi-finales
200 m - hommes, demi-finales
Lancer de disque - hommes, finale
400 m - femmes, demi-finales
400 m - hommes, finale
3 000 m steeple - hommes, finale";22:00;24
1;ATH15;08/08/2024;10:00;"Heptathlon - 100 m haies, femmes
Lancer de poids - femmes, qualifications
100 m haies - femmes, Repêchages
Heptathlon - saut en hauteur, femmes
Relais 4 x 100 m - femmes, 1er tour
Relais 4 x 100 m - hommes, 1er tour
800 m - hommes, Repêchages";13:00;24
1;ATH16;08/08/2024;19:00;"Heptathlon - lancer de poids, femmes
1 500 m - femmes, demi-finales
Saut en longueur - femmes, finale
Lancer de javelot - hommes, finale
200 m - hommes, finale
Heptathlon - 200 m, femmes
400 m haies - femmes, finale
110 m haies - hommes, finale";22:00;24
1;ATH17;09/08/2024;10:00;"Heptathlon - saut en longueur, femmes
Relais 4 x 400 m - femmes, 1er tour
Relais 4 x 400 m - hommes, 1er tour
Heptathlon - lancer de javelot, femmes
800 m - hommes, demi-finales
100 m haies - femmes, demi-finales";13:15:00;24
1;ATH18;09/08/2024;19:00;"Relais 4 x 100 m - femmes, finale
Lancer de poids - femmes, finale
Relais 4 x 100 m - hommes, finale
400 m - femmes, finale
Triple saut - hommes, finale
Heptathlon - 800 m, femmes
10 000 m - femmes, finale
400 m haies - hommes, finale";22:30:00;24
1;ATH19;10/08/2024;08:00;Marathon - hommes, finale;11:00;13
1;ATH20;10/08/2024;18:30:00;"Saut en hauteur - hommes, finale
800 m - hommes, finale
Lancer de javelot - femmes, finale
100 m haies - femmes, finale
5 000 m - hommes, finale
1 500 m - femmes, finale
Relais 4 x 400 m - hommes, finale
Relais 4 x 400 m - femmes, finale";22:30:00;24
1;ATH21;11/08/2024;08:00;Marathon - femmes, finale;11:15:00;13
2;ROW01;27/07/2024;09:00;"Skiff - hommes, éliminatoires
Skiff - femmes, éliminatoires
Deux de couple - hommes, éliminatoires
Deux de couple - femmes, éliminatoires
Quatre de couple - hommes, éliminatoires
Quatre de couple - femmes, éliminatoires";13:10:00;30
2;ROW02;28/07/2024;09:00;"Skiff - femmes, repêchages
Skiff - hommes, repêchages
Deux de couple - femmes, repêchage
Deux de couple - hommes, repêchage
Deux de pointe sans barreur - femmes, éliminatoires
Deux de pointe sans barreur - hommes, éliminatoires
Deux de couple poids léger - femmes, éliminatoires
Deux de couple poids léger - hommes, éliminatoires
Quatre de pointe sans barreur - femmes, éliminatoires
Quatre de pointe sans barreur - hommes, éliminatoires";13:10:00;30
2;ROW03;29/07/2024;09:30:00;"Skiff - hommes, demi-finales E/F
Skiff - femmes, demi-finales E/F
Deux de pointe sans barreur - hommes, repêchage
Deux de pointe sans barreur - femmes, repêchage
Deux de couple poids léger - hommes, repêchages
Deux de couple poids léger - femmes, repêchages
Quatre de couple - hommes, repêchage
Quatre de couple - femmes, repêchage
Huit de pointe avec barreur - hommes, éliminatoires
Huit de pointe avec barreur - femmes, éliminatoires";12:20:00;30
2;ROW04;30/07/2024;09:30:00;"Skiff - femmes, quarts de finale 
Skiff - hommes, quarts de finale 
Deux de couple - femmes, demi-finales
Deux de couple - hommes, demi-finales
Quatre de pointe sans barreur - femmes, repêchage
Quatre de pointe sans barreur - hommes, repêchage";11:50:00;30
2;ROW05;31/07/2024;09:30:00;"Deux de couple poids léger - femmes, finale C
Deux de couple poids léger - hommes, finale C
Skiff - hommes, demi-finales C/D
Skiff - femmes, demi-finales C/D
Deux de pointe sans barreur - hommes, demi-finales
Deux de pointe sans barreur - femmes, demi-finales
Deux de couple poids léger - hommes, demi-finales
Deux de couple poids léger - femmes, demi-finales
Quatre de couple - hommes, finale B
Quatre de couple - femmes, finale B
Quatre de couple - hommes, finale A
Quatre de couple - femmes, finale A";13:10:00;30
2;ROW06;01/08/2024;09:30:00;"Skiff - femmes, demi-finales A/B 
Skiff - hommes, demi-finales A/B 
Huit de pointe avec barreur - femmes, repêchage
Huit de pointe avec barreur - hommes, repêchage
Deux de couple - femmes, finale B
Deux de couple - hommes, finale B
Quatre de pointe sans barreur - femmes, finale B
Quatre de pointe sans barreur - hommes, finale B
Deux de couple - femmes, finale A
Deux de couple - hommes, finale A
Quatre de pointe sans barreur - femmes, finale A
Quatre de pointe sans barreur - hommes, finale A";12:40:00;30
2;ROW07;02/08/2024;09:30:00;"Skiff - hommes, finale F
Skiff - femmes, finale F
Skiff - hommes, finale E
Skiff - femmes, finale E
Skiff - hommes, finale D
Skiff - femmes, finale D
Deux de pointe sans barreur - hommes, finale B 
Deux de pointe sans barreur - femmes, finale B 
Deux de couple poids léger - hommes, finale B
Deux de couple poids léger - femmes, finale B
Deux de pointe sans barreur - hommes, finale A
Deux de pointe sans barreur - femmes, finale A
Deux de couple poids léger - hommes, finale A
Deux de couple poids léger - femmes, finale A";12:50:00;30
2;ROW08;03/08/2024;09:30:00;"Skiff - femmes, finale C
Skiff - hommes, finale C
Skiff - femmes, finale B
Skiff - hommes, finale B
Skiff - femmes, finale A 
Skiff - hommes, finale A 
Huit de pointe avec barreur - femmes, finale A
Huit de pointe avec barreur - hommes, finale A";11:40:00;30
3;BDM01;27/07/2024;08:30:00;"Double mixte, poules préliminaires
Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";12:00;5
3;BDM02;27/07/2024;14:00;"Double mixte, poules préliminaires
Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";17:30:00;5
3;BDM03;27/07/2024;19:30:00;"Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";23:00;5
3;BDM04;28/07/2024;08:30:00;"Double mixte, poules préliminaires
Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";12:00;5
3;BDM05;28/07/2024;14:00;"Double mixte, poules préliminaires
Double femmes, poules préliminaires
Double hommes, poules préliminaires
Simple femmes, poules préliminaires
Simple hommes, poules préliminaires";17:30:00;5
3;BDM06;28/07/2024;19:30:00;"Double mixte, poules préliminaires
Double hommes, poules préliminaires
Simple femmes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";23:00;5
3;BDM07;29/07/2024;08:30:00;"Double mixte, poules préliminaires
Double hommes, poules préliminaires
Simple femmes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";12:00;5
3;BDM08;29/07/2024;14:00;"Double mixte, poules préliminaires
Double femmes, poules préliminaires
Double hommes, poules préliminaires
Simple femmes, poules préliminaires
Simple hommes, poules préliminaires";17:30:00;5
3;BDM09;29/07/2024;19:30:00;"Double mixte, poules préliminaires
Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";23:00;5
3;BDM10;30/07/2024;08:30:00;"Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";12:00;5
3;BDM11;30/07/2024;14:00;"Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple femmes, poules préliminaires
Simple hommes, poules préliminaires";17:30:00;5
3;BDM12;30/07/2024;19:30:00;"Simple femmes, poules préliminaires
Double hommes, poules préliminaires
Double femmes, poules préliminaires
Simple hommes, poules préliminaires";23:00;5
3;BDM13;31/07/2024;08:30:00;"Simple femmes, poules préliminaires
Simple hommes, poules préliminaires";12:00;5
3;BDM14;31/07/2024;14:00;"Simple femmes, poules préliminaires
Simple hommes, poules préliminaires";17:30:00;5
3;BDM15;31/07/2024;19:30:00;"Simple femmes, poules préliminaires
Simple hommes, poules préliminaires
Double mixte, quarts de finale";23:00;5
3;BDM16;01/08/2024;08:30:00;"Double femmes, quarts de finale
Simple hommes, 8e de finale";11:00;5
3;BDM17;01/08/2024;13:00;"Double hommes, quarts de finale
Simple hommes, 8e de finale";16:30:00;5
3;BDM18;01/08/2024;18:30:00;"Simple femmes, 8e de finale
Double mixte, demi-finale";22:00;5
3;BDM19;02/08/2024;08:30:00;"Double femmes, demi-finale
Double hommes, demi-finale";13:00;5
3;BDM20;02/08/2024;15:00;"Double mixte, match bronze
Double mixte, match or
Simple hommes, quarts de finale";22:30:00;5
3;BDM21;03/08/2024;08:30:00;Simple femmes, quarts de finale;13:00;5
3;BDM22;03/08/2024;15:00;"Double femmes, match bronze
Double femmes, match or";17:30:00;5
3;BDM23;04/08/2024;08:30:00;"Simple femmes, demi-finales
Simple hommes, demi-finales";13:00;5
3;BDM24;04/08/2024;15:00;"Double hommes, match bronze
Double hommes, match or";17:30:00;5
3;BDM25;05/08/2024;09:45:00;"Simple femmes, match bronze
Simple femmes, match or";12:30:00;5
3;BDM26;05/08/2024;14:30:00;"Simple hommes, match bronze
Simple hommes, match or";17:30:00;5
5;BKB01;27/07/2024;11:00;Hommes, tour préliminaire (2 matchs);15:15:00;32
5;BKB02;27/07/2024;17:15:00;Hommes, tour préliminaire;19:00;32
5;BKB03;27/07/2024;21:00;Hommes, tour préliminaire ;22:45:00;32
5;BKB04;28/07/2024;11:00;Hommes ou Femmes, tour préliminaire (2 matchs);15:15:00;32
5;BKB05;28/07/2024;17:15:00;Hommes ou Femmes, tour préliminaire ;19:00;32
5;BKB06;28/07/2024;21:00;Hommes ou Femmes, tour préliminaire ;22:45:00;32
5;BKB07;29/07/2024;11:00;Femmes, tour préliminaire (2 matchs);15:15:00;32
5;BKB08;29/07/2024;17:15:00;Femmes, tour préliminaire ;19:00;32
5;BKB09;29/07/2024;21:00;Femmes, tour préliminaire;22:45:00;32
5;BKB10;30/07/2024;11:00;Hommes, tour préliminaire (2 matchs);15:15:00;32
5;BKB11;30/07/2024;17:15:00;Hommes, tour préliminaire;19:00;32
5;BKB12;30/07/2024;21:00;Hommes, tour préliminaire;22:45:00;32
5;BKB13;31/07/2024;11:00;Hommes ou Femmes, tour préliminaire (2 matchs);15:15:00;32
5;BKB14;31/07/2024;17:15:00;Hommes ou Femmes, tour préliminaire;19:00;32
5;BKB15;31/07/2024;21:00;Hommes ou Femmes, tour préliminaire;22:45:00;32
5;BKB16;01/08/2024;11:00;Femmes, tour préliminaire (2 matchs);15:15:00;32
5;BKB17;01/08/2024;17:15:00;Femmes, tour préliminaire;19:00;32
5;BKB18;01/08/2024;21:00;Femmes, tour préliminaire;22:45:00;32
5;BKB19;02/08/2024;11:00;Hommes, tour préliminaire (2 matchs);15:15:00;32
5;BKB20;02/08/2024;17:15:00;Hommes, tour préliminaire;19:00;32
5;BKB21;02/08/2024;21:00;Hommes, tour préliminaire;22:45:00;32
5;BKB22;03/08/2024;11:00;Hommes ou Femmes, tour préliminaire (2 matchs);15:15:00;32
5;BKB23;03/08/2024;17:15:00;Hommes, tour préliminaire;19:00;32
5;BKB24;03/08/2024;21:00;Hommes ou Femmes, tour préliminaire;22:45:00;32
5;BKB25;04/08/2024;11:00;Femmes, tour préliminaire (2 matchs);15:15:00;32
5;BKB26;04/08/2024;17:15:00;Femmes, tour préliminaire;19:00;32
5;BKB27;04/08/2024;21:00;Femmes, tour préliminaire;22:45:00;32
5;BKB28;06/08/2024;11:00;Hommes, quart de finale;13:00;1
5;BKB29;06/08/2024;14:30:00;Hommes, quart de finale;16:30:00;1
5;BKB30;06/08/2024;18:00;Hommes, quart de finale;20:00;1
5;BKB31;06/08/2024;21:30:00;Hommes, quart de finale;23:30:00;1
5;BKB32;07/08/2024;11:00;Femmes, quart de finale;13:00;1
5;BKB33;07/08/2024;14:30:00;Femmes, quart de finale;16:30:00;1
5;BKB34;07/08/2024;18:00;Femmes, quart de finale;20:00;1
5;BKB35;07/08/2024;21:30:00;Femmes, quart de finale;23:30:00;1
5;BKB36;08/08/2024;17:30:00;Hommes, demi-finale;19:30:00;1
5;BKB37;08/08/2024;21:00;Hommes, demi-finale;23:00;1
5;BKB38;09/08/2024;17:30:00;Femmes, demi-finale;19:30:00;1
5;BKB39;09/08/2024;21:00;Femmes, demi-finale;23:00;1
5;BKB40;10/08/2024;11:00;Hommes, match pour la médaille de bronze;13:00;1
5;BKB41;10/08/2024;21:30:00;Hommes, match pour la médaille d'or;00:00;1
5;BKB42;11/08/2024;11:30:00;Femmes, match pour la médaille de bronze;13:30:00;1
5;BKB43;11/08/2024;15:30:00;Femmes, match pour la médaille d'or;18:00;1
6;BK301;30/07/2024;17:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";19:30:00;10
6;BK302;30/07/2024;21:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:00;10
6;BK303;31/07/2024;17:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";19:30:00;10
6;BK304;31/07/2024;21:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:00;10
6;BK305;31/07/2024;09:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";11:00;10
6;BK306;31/07/2024;12:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";14:30:00;10
6;BK307;31/07/2024;18:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";20:00;10
6;BK308;31/07/2024;21:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:30:00;10
6;BK309;31/07/2024;09:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";11:00;10
6;BK310;31/07/2024;12:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";14:30:00;10
6;BK311;31/07/2024;17:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";19:30:00;10
6;BK312;31/07/2024;21:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:00;10
6;BK313;31/07/2024;17:30:00;Femmes, matches de poule (4 matchs);19:30:00;10
6;BK314;31/07/2024;21:30:00;Femmes, play in (2 matchs);22:30:00;10
6;BK315;31/07/2024;17:30:00;Hommes, matches de poule (4 matches);19:30:00;10
6;BK316;31/07/2024;21:30:00;Hommes, play in (2 matchs);22:30:00;10
6;BK317;31/07/2024;17:30:00;Femmes et hommes, demi-finales;19:30:00;10
6;BK318;31/07/2024;21:00;"Femmes, match pour la médaille de bronze
Hommes, match pour la médaille de bronze
Femmes, match pour la médaille d'or
Hommes, match pour la médaille d'or";23:20:00;10
6;VBV01;27/07/2024;14:00;Tour préliminaire - Femmes et hommes (2 matchs);16:00;34
6;VBV02;27/07/2024;18:00;Tour préliminaire - Femmes et hommes (2 matchs);20:00;34
6;VBV03;27/07/2024;22:00;Tour préliminaire - Femmes et hommes (2 matchs);00:00;34
6;VBV04;28/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV05;28/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV06;28/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV07;29/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV08;29/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV09;29/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV10;30/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV11;30/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV12;30/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV13;31/07/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV14;31/07/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV15;31/07/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV16;01/08/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV17;01/08/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV18;01/08/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV19;02/08/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV20;02/08/2024;15:00;Tour préliminaire - Femmes et hommes (3 matchs);18:00;34
6;VBV21;02/08/2024;20:00;Tour préliminaire - Femmes et hommes (3 matchs);23:00;34
6;VBV22;03/08/2024;09:00;Tour préliminaire - Femmes et hommes (4 matchs);13:00;34
6;VBV23;03/08/2024;16:00;"Tour préliminaire - Femmes et hommes (2 matchs)
Lucky Loser - Femmes ou hommes (1 match)";19:00;34
6;VBV24;03/08/2024;21:00;Lucky Losers - Femmes et hommes (3 matchs);00:00;34
6;VBV25;04/08/2024;09:00;8e de finale - Femmes et hommes (2 matchs);11:00;34
6;VBV26;04/08/2024;13:00;8e de finale - Femmes et hommes (2 matchs);15:00;34
